a_x,a_z,seed,rms_amplitude,lower_rms,rms_reflectivity,lower_reflectivity
10000000.0,0.05,3021.0,9.290837024318359e-07,6.96682135891225e-07,0.06673861578634267,0.06287748991490424
10000000.0,0.05,3022.0,9.338828475362346e-07,7.526034089582458e-07,0.06645717244098863,0.06005569769295671
10000000.0,0.05,3023.0,1.0314293639944894e-06,7.411613000585237e-07,0.06780416899243291,0.06367357268890102
10000000.0,0.05,3024.0,9.888617707226277e-07,7.543595599044748e-07,0.08565743075690635,0.06988481991720148
10000000.0,0.05,3025.0,9.869319770428811e-07,7.224211384002651e-07,0.059568705104382155,0.059910649391215466
1000.0,0.05,3021.0,9.788278759308389e-07,7.395414087177083e-07,0.06750077592461826,0.06353829750202034
1000.0,0.05,3022.0,9.585768232562077e-07,7.574015087132664e-07,0.06902962691458378,0.0626973820558878
1000.0,0.05,3023.0,8.658864228524648e-07,7.564914796011849e-07,0.06617976895122037,0.06454831089525702
1000.0,0.05,3024.0,9.924784173682001e-07,7.626675969048452e-07,0.06426574311143665,0.07025297637893128
1000.0,0.05,3025.0,1.0102138856740033e-06,7.620978427760886e-07,0.07091835347485623,0.05933284473363894
100.0,0.05,3021.0,9.326557901136136e-07,7.255227461533528e-07,0.06536211860337622,0.06356455293566629
100.0,0.05,3022.0,9.434526502155071e-07,7.7650906061927e-07,0.06783304931602548,0.06354778957545326
100.0,0.05,3023.0,9.614196922751094e-07,8.186885657755368e-07,0.06933728284190105,0.06364116190932484
100.0,0.05,3024.0,9.358611626888151e-07,7.797517328953372e-07,0.07026423380679582,0.07069511303904927
100.0,0.05,3025.0,9.251561894180843e-07,7.449384282236022e-07,0.06515867320484947,0.058906194953436755
10.0,0.05,3021.0,9.068530399932511e-07,8.447458733032929e-07,0.06986606166577855,0.06296412986734075
10.0,0.05,3022.0,9.238709822283488e-07,8.930760220065521e-07,0.06821122382771146,0.06101752122366746
10.0,0.05,3023.0,9.45092029160926e-07,8.394623870888157e-07,0.06585998971759638,0.06414923749760669
10.0,0.05,3024.0,9.16756246542263e-07,8.493715987241377e-07,0.07018086083136733,0.07100914901619626
10.0,0.05,3025.0,9.245549951415152e-07,7.945085436685931e-07,0.06649859487584879,0.05938863948133911
1.0,0.05,3021.0,8.778340240176253e-07,8.824945459068411e-07,0.06884433121938874,0.06295328877141373
1.0,0.05,3022.0,8.800574377331633e-07,9.621929757377137e-07,0.068604114736954,0.06145056735936233
1.0,0.05,3023.0,9.179388224972346e-07,9.519322336257132e-07,0.06685123864829454,0.06420853489669667
1.0,0.05,3024.0,8.891096070974164e-07,9.444105942519418e-07,0.06964480049082064,0.07088950488649556
1.0,0.05,3025.0,8.966150415292396e-07,9.26250596179061e-07,0.06613040109968567,0.05911923694159243
0.5,0.05,3021.0,8.709050356707897e-07,9.289580970821717e-07,0.06948484414324628,0.06301609022002219
0.5,0.05,3022.0,8.62056948254143e-07,9.80624951383259e-07,0.06862844306239892,0.06122933894937144
0.5,0.05,3023.0,8.956279413908395e-07,9.526559999918102e-07,0.06674080366285544,0.06417039785133315
0.5,0.05,3024.0,8.715861396390058e-07,9.461780226874397e-07,0.06966772960006196,0.07073432607925458
0.5,0.05,3025.0,8.655139395098277e-07,9.678454477842003e-07,0.06613100890136833,0.05912826303239888
0.1,0.05,3021.0,7.716406578243528e-07,9.584052648077326e-07,0.06935477812140292,0.0630302163508527
0.1,0.05,3022.0,7.394531590580846e-07,9.927680585769017e-07,0.0680219500120738,0.06143070520423265
0.1,0.05,3023.0,7.847249939406459e-07,9.889042048748425e-07,0.0666007453157243,0.06418176102090277
0.1,0.05,3024.0,7.600696650832314e-07,1.0006986038728051e-06,0.06993023491019139,0.07094508072684774
0.1,0.05,3025.0,7.576415584027052e-07,9.903450591623387e-07,0.06551772953374314,0.0591049627713923
0.05,0.05,3021.0,7.342229144430603e-07,1.029864285463547e-06,0.06930176941019188,0.06294476021289763
0.05,0.05,3022.0,7.406398993166391e-07,1.073054665026196e-06,0.06832234545986532,0.06137646144886172
0.05,0.05,3023.0,7.722003659256774e-07,1.1094467173400563e-06,0.06645681595877485,0.06416577196761399
0.05,0.05,3024.0,7.344269715175963e-07,1.0425823573783944e-06,0.06944660240600527,0.07105992111849892
0.05,0.05,3025.0,7.530872971194732e-07,1.0591027458175707e-06,0.06543269928519907,0.059123666723725446
